id,tick,fire_entity,jump_entity,hurt_entity,flashed_entity,footstep_entity,swap_team_entity,kill_killer,kill_victim,kill_weapon,kill_assister,round_started,current_round,round_ended_winner,round_ended_reason
1,18876,,7,,,,,,,,,,3,,
1,19358,5,,,,,,,,,,,3,,
1,19579,,,,5,,,,,,,,3,,
1,20157,7,,9,,,,,,,,,3,,
1,20169,7,,,,,,,,,,,3,,
1,20181,9,,7,,,,,,,,,3,,
1,20183,7,,9,,,,7,9,8,,,3,,
1,20205,10,,,,,,,,,,,3,,
1,20209,7,,,,,,,,,,,3,,
1,20218,10,,,,,,,,,,,3,,
1,20226,7,,,,,,,,,,,3,,
1,20231,10,,,,,,,,,,,3,,
1,20242,7,,,,,,,,,,,3,,
1,20244,10,,,,,,,,,,,3,,
1,20257,10,,,,,,,,,,,3,,
1,20269,10,,7,,,,,,,,,3,,
1,20277,7,,,,,,,,,,,3,,
1,20282,10,,7,,,,,,,,,3,,
1,20290,7,,10,,,,7,10,8,,,3,,
1,20303,7,,,,,,,,,,,3,,
1,20316,7,,,,,,,,,,,3,,
1,20319,6,,,,,,,,,,,3,,
1,20329,7,,,,,,,,,,,3,,
1,20332,6,,7,,,,6,7,303,10,,3,,
1,20345,6,,,,,,,,,,,3,,
1,20358,6,,,,,,,,,,,3,,
1,20371,6,,,,,,,,,,,3,,
1,20764,,3,,,,,,,,,,3,,
1,20845,,3,,,,,,,,,,3,,
1,21165,6,,,,,,,,,,,3,,
1,21412,,8,,,,,,,,,,3,,
1,21787,,6,,,,,,,,,,3,,
1,21891,,5,,,,,,,,,,3,,
1,21917,2,,,,,,,,,,,3,,
1,22068,,5,,,,,,,,,,3,,
1,22142,,8,,,,,,,,,,3,,
1,22149,,5,,,,,,,,,,3,,
1,22371,,6,,,,,,,,,,3,,
1,22827,,2,,,,,,,,,,3,,
1,22879,,8,,,,,,,,,,3,,
1,24637,5,,,,,,,,,,,3,,
1,24649,5,,,,,,,,,,,3,,
1,24658,4,,,,,,,,,,,3,,
1,24860,,2,,,,,,,,,,3,,
1,24989,6,,,,,,,,,,,3,,
1,25129,5,,,,,,,,,,,3,,
1,25201,5,,,,,,,,,,,3,,
1,25208,4,,,,,,,,,,,3,,
1,25213,5,,,,,,,,,,,3,,
1,25221,4,,,,,,,,,,,3,,
1,25225,5,,4,,,,,,,,,3,,
1,25234,4,,5,,,,,,,,,3,,
1,25236,5,,4,,,,,,,,,3,,
1,25247,4,,5,,,,,,,,,3,,
1,25248,5,,,,,,,,,,,3,,
1,25259,5,,4,,,,,,,,,3,,
1,25260,4,,5,,,,4,5,303,,,3,,
1,25273,4,6,,,,,,,,,,3,,
1,25285,4,,,,,,,,,,,3,,
1,25354,,3,,,,,,,,,,3,,
1,25361,,6,,,,,,,,,,3,,
1,25476,,3,,,,,,,,,,3,,
1,25481,,8,,,,,,,,,,3,,
1,25586,,3,,,,,,,,,,3,,
1,25592,6,,,,,,,,,,,3,,
1,25684,12,,,,,,,,,,,3,,
1,25766,6,,,,,,,,,,,3,,
1,25814,,,,7,,,,,,,,3,,
1,25883,,6,,,,,,,,,,3,,
1,25953,4,,,,,,,,,,,3,,
1,25966,4,,,,,,,,,,,3,,
1,25974,,8,,,,,,,,,,3,,
1,25980,4,,,,,,,,,,,3,,
1,25992,4,,,,,,,,,,,3,,
1,26005,4,,,,,,,,,,,3,,
1,26017,4,,,,,,,,,,,3,,
1,26030,4,,,,,,,,,,,3,,
1,26036,,12,,,,,,,,,,3,,
1,26043,4,,,,,,,,,,,3,,
1,26056,4,,,,,,,,,,,3,,
1,26069,4,,,,,,,,,,,3,,
1,26287,3,,,,,,,,,,,3,,
1,26299,3,,,,,,,,,,,3,,
1,26311,3,,,,,,,,,,,3,,
1,26322,3,,,,,,,,,,,3,,
1,26334,3,,,,,,,,,,,3,,
1,26345,3,,,,,,,,,,,3,,
1,26357,3,,,,,,,,,,,3,,
1,26368,3,,,,,,,,,,,3,,
1,26380,3,,,,,,,,,,,3,,
1,26391,3,,,,,,,,,,,3,,
1,26403,3,,,,,,,,,,,3,,
1,26414,3,,,,,,,,,,,3,,
1,26426,3,,,,,,,,,,,3,,
1,26437,3,,,,,,,,,,,3,,
1,26449,3,,,,,,,,,,,3,,
1,26460,3,,,,,,,,,,,3,,
1,26472,3,,,,,,,,,,,3,,
1,26483,3,,,,,,,,,,,3,,
1,26495,3,,,,,,,,,,,3,,
1,26504,,4,,,,,,,,,,3,,
1,26657,8,,,,,,,,,,,3,,
1,26670,8,,2,,,,8,2,303,3,,3,,
1,26683,8,,,,,,,,,,,3,,
1,26696,8,,,,,,,,,,,3,,
1,26710,8,,,,,,,,,,,3,,
1,27018,12,,,,,,,,,,,3,,
1,27023,,12,,,,,,,,,,3,,
1,27051,3,,,,,,,,,,,3,,
1,27063,3,,,,,,,,,,,3,,
1,27075,3,,,,,,,,,,,3,,
1,27083,6,,,,,,,,,,,3,,
1,27086,3,,,,,,,,,,,3,,
1,27096,6,,,,,,,,,,,3,,
1,27098,3,,,,,,,,,,,3,,
1,27109,6,,,,,,,,,,,3,,
1,27121,3,,,,,,,,,,,3,,
1,27122,6,,,,,,,,,,,3,,
1,27132,3,,,,,,,,,,,3,,
1,27135,6,,,,,,,,,,,3,,
1,27147,6,,,,,,,,,,,3,,
